tree,origin,culture,coral,day,brightness
38,sub,int,3,1,50.7091166
38,sub,int,4,1,75.08711795
38,sub,int,5,1,57.55203137
38,sub,int,6,1,46.98015983
38,sub,int,7,1,66.23760599
38,sub,int,8,1,51.37310434
38,sub,int,1,3,75.85235935
38,sub,int,2,3,56.10031679
38,sub,int,3,3,61.24200513
38,sub,int,4,3,87.27661899
38,sub,int,5,3,92.42749013
38,sub,int,6,3,71.32395566
38,sub,int,7,3,70.6920761
38,sub,int,8,3,49.73295041
38,sub,int,1,5,116.7660503
38,sub,int,2,5,120.001307
38,sub,int,3,5,135.0703472
38,sub,int,4,5,132.3701706
38,sub,int,5,5,132.1613756
38,sub,int,6,5,60.67015252
38,sub,int,7,5,104.77538
38,sub,int,8,5,102.6260356
38,sub,int,1,7,111.9877786
38,sub,int,2,7,109.953409
38,sub,int,3,7,114.206372
38,sub,int,4,7,118.7955131
38,sub,int,5,7,106.0657122
38,sub,int,6,7,41.53168729
38,sub,int,7,7,88.2291877
38,sub,int,8,7,113.805226
38,sub,int,1,9,166.1233234
38,sub,int,2,9,117.8591357
38,sub,int,3,9,95.68425603
38,sub,int,4,9,151.7025128
38,sub,int,5,9,135.5005096
38,sub,int,6,9,49.12420817
38,sub,int,7,9,150.2544395
38,sub,int,8,9,111.6457259
38,sub,int,1,11,162.6694112
38,sub,int,2,11,179.8549616
38,sub,int,3,11,131.0943681
38,sub,int,4,11,112.4816521
38,sub,int,5,11,114.7661425
38,sub,int,6,11,35.76499176
38,sub,int,7,11,46.89633491
38,sub,int,8,11,100.1018201
38,sub,int,1,13,188.5033309
38,sub,int,2,13,90.14755021
38,sub,int,3,13,94.58325976
38,sub,int,4,13,116.263553
38,sub,int,5,13,149.0097633
38,sub,int,6,13,32.05379546
38,sub,int,7,13,33.35091213
38,sub,int,8,13,55.87167889
36,sub,int,1,1,81.0359715
36,sub,int,2,1,109.2025209
36,sub,int,3,1,65.48689965
36,sub,int,4,1,66.71271257
36,sub,int,5,1,73.52115915
36,sub,int,6,1,94.15939772
36,sub,int,7,1,52.65327468
36,sub,int,8,1,78.45093583
36,sub,int,1,3,65.60168312
36,sub,int,2,3,84.00299666
36,sub,int,3,3,62.10362574
36,sub,int,4,3,74.64032637
36,sub,int,5,3,63.51914938
36,sub,int,6,3,65.2934459
36,sub,int,7,3,69.88671086
36,sub,int,8,3,101.7805048
36,sub,int,1,5,NA
36,sub,int,2,5,NA
36,sub,int,3,5,NA
36,sub,int,4,5,NA
36,sub,int,5,5,NA
36,sub,int,6,5,NA
36,sub,int,7,5,NA
36,sub,int,8,5,NA
36,sub,int,1,7,NA
36,sub,int,2,7,NA
36,sub,int,3,7,41.23407838
36,sub,int,4,7,NA
36,sub,int,5,7,66.58920448
36,sub,int,6,7,46.80845289
36,sub,int,7,7,NA
36,sub,int,8,7,NA
36,sub,int,1,9,NA
36,sub,int,2,9,NA
36,sub,int,3,9,NA
36,sub,int,4,9,NA
36,sub,int,5,9,NA
36,sub,int,6,9,NA
36,sub,int,7,9,NA
36,sub,int,8,9,NA
36,sub,int,1,11,NA
36,sub,int,2,11,NA
36,sub,int,3,11,NA
36,sub,int,4,11,NA
36,sub,int,5,11,NA
36,sub,int,6,11,NA
36,sub,int,7,11,NA
36,sub,int,8,11,NA
36,sub,int,1,13,NA
36,sub,int,2,13,NA
36,sub,int,3,13,NA
36,sub,int,4,13,NA
36,sub,int,5,13,NA
36,sub,int,6,13,NA
36,sub,int,7,13,NA
36,sub,int,8,13,NA
42,int,int,1,1,25.18416199
42,int,int,2,1,40.34423529
42,int,int,3,1,30.92843301
42,int,int,4,1,22.33548219
42,int,int,5,1,39.73088766
42,int,int,6,1,43.51047471
42,int,int,7,1,44.7258527
42,int,int,8,1,42.63334686
42,int,int,1,3,30.78839605
42,int,int,2,3,39.18732223
42,int,int,3,3,21.81709827
42,int,int,4,3,24.34103586
42,int,int,5,3,35.11880815
42,int,int,6,3,44.26434119
42,int,int,7,3,36.5901256
42,int,int,8,3,49.30046882
42,int,int,1,5,37.22486023
42,int,int,2,5,40.22098269
42,int,int,3,5,29.00706636
42,int,int,4,5,18.74235371
42,int,int,5,5,48.83783434
42,int,int,6,5,44.76892783
42,int,int,7,5,36.17182091
42,int,int,8,5,56.71755387
42,int,int,1,7,50.36560363
42,int,int,2,7,36.95349614
42,int,int,3,7,43.26258195
42,int,int,4,7,25.69500263
42,int,int,5,7,39.81510407
42,int,int,6,7,NA
42,int,int,7,7,23.45278098
42,int,int,8,7,52.9050328
42,int,int,1,9,NA
42,int,int,2,9,NA
42,int,int,3,9,NA
42,int,int,4,9,NA
42,int,int,5,9,NA
42,int,int,6,9,NA
42,int,int,7,9,NA
42,int,int,8,9,NA
42,int,int,1,11,NA
42,int,int,2,11,NA
42,int,int,3,11,NA
42,int,int,4,11,NA
42,int,int,5,11,NA
42,int,int,6,11,NA
42,int,int,7,11,NA
42,int,int,8,11,NA
42,int,int,1,13,NA
42,int,int,2,13,NA
42,int,int,3,13,NA
42,int,int,4,13,NA
42,int,int,5,13,NA
42,int,int,6,13,NA
42,int,int,7,13,NA
42,int,int,8,13,NA
46,int,int,1,1,28.33477546
46,int,int,2,1,36.8236543
46,int,int,3,1,31.52704179
46,int,int,4,1,29.4253881
46,int,int,5,1,41.09210079
46,int,int,6,1,45.41772081
46,int,int,7,1,43.78977944
46,int,int,8,1,47.92191257
46,int,int,1,3,34.89168907
46,int,int,2,3,49.54694034
46,int,int,3,3,31.90814787
46,int,int,4,3,35.5637685
46,int,int,5,3,54.86921414
46,int,int,6,3,51.77266216
46,int,int,7,3,56.74562718
46,int,int,8,3,59.76259861
46,int,int,1,5,39.13846128
46,int,int,2,5,42.71141291
46,int,int,3,5,31.67879552
46,int,int,4,5,38.17631047
46,int,int,5,5,44.17883957
46,int,int,6,5,55.39939646
46,int,int,7,5,55.03315527
46,int,int,8,5,49.23971739
46,int,int,1,7,37.51166722
46,int,int,2,7,42.49858656
46,int,int,3,7,27.9110313
46,int,int,4,7,45.2070338
46,int,int,5,7,37.71411578
46,int,int,6,7,44.52374589
46,int,int,7,7,57.80987036
46,int,int,8,7,62.31415151
46,int,int,1,9,NA
46,int,int,2,9,NA
46,int,int,3,9,NA
46,int,int,4,9,NA
46,int,int,5,9,NA
46,int,int,6,9,NA
46,int,int,7,9,NA
46,int,int,8,9,NA
46,int,int,1,11,NA
46,int,int,2,11,NA
46,int,int,3,11,NA
46,int,int,4,11,NA
46,int,int,5,11,NA
46,int,int,6,11,NA
46,int,int,7,11,NA
46,int,int,8,11,NA
46,int,int,1,13,NA
46,int,int,2,13,NA
46,int,int,3,13,NA
46,int,int,4,13,NA
46,int,int,5,13,NA
46,int,int,6,13,NA
46,int,int,7,13,NA
46,int,int,8,13,NA
40,sub,int,1,1,26.82440187
40,sub,int,2,1,31.61168222
40,sub,int,3,1,33.7444235
40,sub,int,4,1,35.53905132
40,sub,int,5,1,36.9304514
40,sub,int,6,1,39.30751512
40,sub,int,7,1,25.08274427
40,sub,int,8,1,26.61767043
40,sub,int,1,3,39.01256657
40,sub,int,2,3,68.68173947
40,sub,int,3,3,32.29197318
40,sub,int,4,3,63.94266612
40,sub,int,5,3,84.99767685
40,sub,int,6,3,61.05429324
40,sub,int,7,3,44.13496494
40,sub,int,8,3,47.54035473
40,sub,int,1,5,62.5990525
40,sub,int,2,5,65.32954139
40,sub,int,3,5,45.78614268
40,sub,int,4,5,84.41812135
40,sub,int,5,5,86.84311347
40,sub,int,6,5,104.250876
40,sub,int,7,5,39.68035736
40,sub,int,8,5,32.47048694
40,sub,int,1,7,88.93638047
40,sub,int,2,7,56.96620023
40,sub,int,3,7,34.57023464
40,sub,int,4,7,78.89665845
40,sub,int,5,7,107.3412881
40,sub,int,6,7,67.23774327
40,sub,int,7,7,44.90444792
40,sub,int,8,7,34.55606652
40,sub,int,1,9,NA
40,sub,int,2,9,NA
40,sub,int,3,9,NA
40,sub,int,4,9,NA
40,sub,int,5,9,NA
40,sub,int,6,9,NA
40,sub,int,7,9,NA
40,sub,int,8,9,NA
40,sub,int,1,11,NA
40,sub,int,2,11,NA
40,sub,int,3,11,NA
40,sub,int,4,11,NA
40,sub,int,5,11,NA
40,sub,int,6,11,NA
40,sub,int,7,11,NA
40,sub,int,8,11,NA
40,sub,int,1,13,NA
40,sub,int,2,13,NA
40,sub,int,3,13,NA
40,sub,int,4,13,NA
40,sub,int,5,13,NA
40,sub,int,6,13,NA
40,sub,int,7,13,NA
40,sub,int,8,13,NA
41,int,int,1,1,23.81325074
41,int,int,2,1,52.08173066
41,int,int,3,1,28.75110958
41,int,int,4,1,22.2434972
41,int,int,5,1,31.92558178
41,int,int,6,1,30.75115269
41,int,int,7,1,35.18451335
41,int,int,8,1,28.34702897
41,int,int,1,3,28.26347723
41,int,int,2,3,73.96475671
41,int,int,3,3,33.02119318
41,int,int,4,3,30.77507777
41,int,int,5,3,40.38580667
41,int,int,6,3,41.3397398
41,int,int,7,3,36.12916702
41,int,int,8,3,32.97965641
41,int,int,1,5,NA
41,int,int,2,5,79.51603021
41,int,int,3,5,47.76820605
41,int,int,4,5,26.98077074
41,int,int,5,5,38.15043812
41,int,int,6,5,36.93814708
41,int,int,7,5,43.78712759
41,int,int,8,5,28.73612582
41,int,int,1,7,24.03225148
41,int,int,2,7,27.15143408
41,int,int,3,7,25.02329439
41,int,int,4,7,17.37028436
41,int,int,5,7,34.90829686
41,int,int,6,7,32.38789255
41,int,int,7,7,27.31212729
41,int,int,8,7,25.06980501
41,int,int,1,9,NA
41,int,int,2,9,NA
41,int,int,3,9,NA
