day,date,Source,temp,time
46,2020-03-03,Subtidal,30.154,night
46,2020-03-03,Subtidal,30.255,night
46,2020-03-03,Subtidal,30.255,night
46,2020-03-03,Subtidal,30.255,night
46,2020-03-03,Subtidal,30.255,night
46,2020-03-03,Subtidal,30.356,night
46,2020-03-03,Subtidal,30.356,night
46,2020-03-03,Subtidal,30.356,night
46,2020-03-03,Subtidal,30.356,night
46,2020-03-03,Subtidal,30.356,night
46,2020-03-03,Subtidal,30.356,night
47,2020-03-04,Subtidal,30.356,night
47,2020-03-04,Subtidal,30.356,night
47,2020-03-04,Subtidal,30.356,night
47,2020-03-04,Subtidal,30.356,night
47,2020-03-04,Subtidal,30.356,night
47,2020-03-04,Subtidal,30.457,night
47,2020-03-04,Subtidal,30.659,night
47,2020-03-04,Subtidal,30.659,night
47,2020-03-04,Subtidal,30.659,night
47,2020-03-04,Subtidal,30.862,night
47,2020-03-04,Subtidal,30.76,night
47,2020-03-04,Subtidal,30.963,night
48,2020-03-04,Subtidal,30.862,night
48,2020-03-04,Subtidal,30.558,night
48,2020-03-05,Subtidal,30.558,day
48,2020-03-05,Subtidal,30.558,day
48,2020-03-05,Subtidal,30.558,day
48,2020-03-05,Subtidal,30.457,day
48,2020-03-05,Subtidal,30.457,day
48,2020-03-05,Subtidal,30.356,day
48,2020-03-05,Subtidal,30.255,day
48,2020-03-05,Subtidal,30.255,day
48,2020-03-05,Subtidal,30.255,day
48,2020-03-05,Subtidal,30.154,day
48,2020-03-05,Subtidal,30.154,day
49,2020-03-05,Subtidal,30.154,night
49,2020-03-05,Subtidal,30.255,night
49,2020-03-05,Subtidal,30.356,night
49,2020-03-05,Subtidal,30.457,night
49,2020-03-05,Subtidal,30.558,night
49,2020-03-05,Subtidal,30.356,night
49,2020-03-05,Subtidal,30.457,night
49,2020-03-05,Subtidal,30.558,night
49,2020-03-05,Subtidal,30.457,night
49,2020-03-05,Subtidal,30.457,night
49,2020-03-05,Subtidal,30.457,night
49,2020-03-05,Subtidal,30.457,night
50,2020-03-06,Subtidal,30.457,day
50,2020-03-06,Subtidal,30.457,day
50,2020-03-06,Subtidal,30.356,day
50,2020-03-06,Subtidal,30.356,day
50,2020-03-06,Subtidal,30.356,day
50,2020-03-06,Subtidal,30.356,day
50,2020-03-06,Subtidal,30.356,day
50,2020-03-06,Subtidal,30.255,day
50,2020-03-06,Subtidal,30.255,day
50,2020-03-06,Subtidal,30.255,day
50,2020-03-06,Subtidal,30.154,day
51,2020-03-06,Subtidal,30.154,night
51,2020-03-06,Subtidal,30.255,night
51,2020-03-06,Subtidal,30.255,night
51,2020-03-06,Subtidal,30.356,night
51,2020-03-06,Subtidal,30.457,night
51,2020-03-06,Subtidal,30.862,night
51,2020-03-06,Subtidal,30.963,night
51,2020-03-06,Subtidal,31.268,night
51,2020-03-06,Subtidal,31.37,night
51,2020-03-06,Subtidal,30.862,night
51,2020-03-06,Subtidal,30.963,night
51,2020-03-06,Subtidal,30.76,night
51,2020-03-06,Subtidal,30.659,night
52,2020-03-07,Subtidal,30.356,day
52,2020-03-07,Subtidal,30.457,day
52,2020-03-07,Subtidal,30.76,day
52,2020-03-07,Subtidal,30.76,day
52,2020-03-07,Subtidal,30.457,day
52,2020-03-07,Subtidal,30.457,day
52,2020-03-07,Subtidal,30.457,day
52,2020-03-07,Subtidal,30.356,day
52,2020-03-07,Subtidal,30.356,day
52,2020-03-07,Subtidal,30.255,day
52,2020-03-07,Subtidal,30.054,day
53,2020-03-07,Subtidal,30.255,night
53,2020-03-07,Subtidal,30.356,night
53,2020-03-07,Subtidal,30.356,night
53,2020-03-07,Subtidal,30.457,night
53,2020-03-07,Subtidal,30.558,night
53,2020-03-07,Subtidal,30.862,night
53,2020-03-07,Subtidal,30.76,night
53,2020-03-07,Subtidal,31.064,night
53,2020-03-07,Subtidal,30.862,night
53,2020-03-07,Subtidal,30.862,night
53,2020-03-07,Subtidal,30.76,night
53,2020-03-07,Subtidal,30.659,night
53,2020-03-07,Subtidal,30.76,night
54,2020-03-08,Subtidal,30.659,day
54,2020-03-08,Subtidal,30.558,day
54,2020-03-08,Subtidal,30.558,day
54,2020-03-08,Subtidal,30.457,day
54,2020-03-08,Subtidal,30.457,day
54,2020-03-08,Subtidal,30.457,day
54,2020-03-08,Subtidal,30.356,day
54,2020-03-08,Subtidal,30.356,day
54,2020-03-08,Subtidal,30.356,day
54,2020-03-08,Subtidal,30.356,day
54,2020-03-08,Subtidal,30.356,day
55,2020-03-08,Subtidal,30.255,night
55,2020-03-08,Subtidal,30.356,night
55,2020-03-08,Subtidal,30.558,night
55,2020-03-08,Subtidal,30.76,night
55,2020-03-08,Subtidal,30.76,night
55,2020-03-08,Subtidal,30.862,night
55,2020-03-08,Subtidal,30.862,night
55,2020-03-08,Subtidal,31.268,night
55,2020-03-08,Subtidal,30.76,night
55,2020-03-08,Subtidal,30.76,night
55,2020-03-08,Subtidal,30.558,night
55,2020-03-08,Subtidal,30.659,night
55,2020-03-08,Subtidal,30.963,night
56,2020-03-09,Subtidal,30.76,day
56,2020-03-09,Subtidal,30.659,day
56,2020-03-09,Subtidal,30.76,day
56,2020-03-09,Subtidal,30.659,day
56,2020-03-09,Subtidal,30.659,day
56,2020-03-09,Subtidal,30.558,day
56,2020-03-09,Subtidal,30.558,day
56,2020-03-09,Subtidal,30.457,day
56,2020-03-09,Subtidal,30.558,day
56,2020-03-09,Subtidal,30.457,day
56,2020-03-09,Subtidal,30.558,day
57,2020-03-09,Subtidal,30.558,night
57,2020-03-09,Subtidal,30.558,night
